path,type,size,mtime,md5
d6337c36822611e9b16de4a471939b0d,dir link,4096,1559125894908561,
d6337c36822611e9b16de4a471939b0d/cfg,dir link,4096,1558723210769017,
d6337c36822611e9b16de4a471939b0d/cfg/DAMSM,dir,4096,1558723210769017,
d6337c36822611e9b16de4a471939b0d/cfg/DAMSM/bird.yml,file,569,1555344710444123,a89c7dd759a2dd29e0dfda78986d7c8f
d6337c36822611e9b16de4a471939b0d/cfg/DAMSM/coco.yml,file,560,1557596745341628,e487ab3dad4178b9881c41365f2c90c3
d6337c36822611e9b16de4a471939b0d/cfg/DAMSM/photosynthesis.yml,file,711,1558723210769017,8053d460a96460ff8f58c011e622e9e7
d6337c36822611e9b16de4a471939b0d/cfg/bird_attn2.yml,file,655,1555344710444123,2722ade64f2320627552913bcf927f64
d6337c36822611e9b16de4a471939b0d/cfg/bird_attnDCGAN2.yml,file,678,1555344710444123,179b045390fd4b34d575d1153666d4a9
d6337c36822611e9b16de4a471939b0d/cfg/coco_attn2.yml,file,675,1555344710444123,580cac555983441a7f97ff883101cc4a
d6337c36822611e9b16de4a471939b0d/cfg/eval_bird.yml,file,467,1557596745341628,c948d31c7a4497fefe037246aef35502
d6337c36822611e9b16de4a471939b0d/cfg/eval_bird_attnDCGAN2.yml,file,462,1555344710444123,10caf4840bdad181c1c453fc8657ee5a
d6337c36822611e9b16de4a471939b0d/cfg/eval_coco.yml,file,433,1555344710444123,d9947cab90b776834b8a88d635da3fea
d6337c36822611e9b16de4a471939b0d/cfg/eval_photosynthesis.yml,file,684,1558723210769017,ac5cc38f4f70e18e0979385ce54979dd
d6337c36822611e9b16de4a471939b0d/cfg/photosynthesis_attn2.yml,file,846,1558723210769017,6d68c5f5bc00ee987b17f7d64d6a5f45
d6337c36822611e9b16de4a471939b0d/output,dir,4096,1559125894908561,
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34,dir,4096,1559125894908561,
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34/Image,dir,4096,1559125933004372,
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34/Image/attention_maps0.png,file,2377273,1559125934424365,53e87e3f9ae6ee537422a87f83226df5
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34/Model,dir,4096,1559125935292361,
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34/Model/image_encoder0.pth,file,98925830,1559125935292361,aba63c06704ff13e39d0f9611f3cd9d8
d6337c36822611e9b16de4a471939b0d/output/photosynthesis_DAMSM_2019_05_29_10_31_34/Model/text_encoder0.pth,file,13630721,1559125935304361,239d6c507e8de9d88877672cc7711791
d6337c36822611e9b16de4a471939b0d/photosynthesis,dir link,4096,1559126411109979,
d6337c36822611e9b16de4a471939b0d/photosynthesis/captions.pickle,file,7665,1559126411109979,59e6afe12e458a2b13307e30450cd86d
d6337c36822611e9b16de4a471939b0d/photosynthesis/example_captions.txt,file,215,1556469374240863,25f5802a94725a302e91474eb94620a2
d6337c36822611e9b16de4a471939b0d/photosynthesis/example_filenames.txt,file,118,1556636064831316,cf9a3b2bce980c32eb69f3aacfc87ac1
d6337c36822611e9b16de4a471939b0d/photosynthesis/filenames.txt,file,118,1559126411089980,45b4bdaa13571e90b331a28c25303b97
d6337c36822611e9b16de4a471939b0d/photosynthesis/images,dir,4096,1557596762237775,
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_0.jpg,file,6911,1557596762237775,d2b19d30fef1ee6b69038f7b5c42473c
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_1.jpg,file,30607,1557596762237775,08a829bb4ef302cdab53bb5bf3d03c78
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_2.jpg,file,15706,1557596762237775,225ef20fe57d159c98d5e4796627b407
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_3.jpg,file,18635,1557596762237775,cacdacb56cfb25981f79734326d48f7c
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_4.jpg,file,39833,1557596762237775,a527227fdfc9304fac7c5cf35bbcd60f
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_5.jpg,file,35177,1557596762237775,dd56967d9f2b999f43c05fe2af7f504f
d6337c36822611e9b16de4a471939b0d/photosynthesis/images/photosynthesis_6.jpg,file,35177,1557596762237775,dd56967d9f2b999f43c05fe2af7f504f
d6337c36822611e9b16de4a471939b0d/photosynthesis/test,dir,4096,1559126411089980,
d6337c36822611e9b16de4a471939b0d/photosynthesis/test/filenames.pickle,file,169,1559126411089980,28d64193ad08c887b2968c9850ae6cbd
d6337c36822611e9b16de4a471939b0d/photosynthesis/text,dir,4096,1557596762237775,
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_0.txt,file,190,1557596762237775,4d593f3823347899748f253742558cb1
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_1.txt,file,75,1557596762237775,8d411b026874ec0bbb0798607a5ab55b
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_2.txt,file,147,1557596762237775,03024adc72436cda286732abe2318ef5
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_3.txt,file,2856,1557596762237775,5aedbf8904c5bde393829f78e45c1d9b
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_4.txt,file,236,1557596762237775,894d5eca3c23a13948beae3d4b5e2b91
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_5.txt,file,749,1557596762237775,ff1f5e4ad6cc662e0b88b66cb7958031
d6337c36822611e9b16de4a471939b0d/photosynthesis/text/photosynthesis_6.txt,file,216,1557596762237775,8691d253c0118707f4f80a7004aac4c6
d6337c36822611e9b16de4a471939b0d/photosynthesis/train,dir,4096,1559126411089980,
d6337c36822611e9b16de4a471939b0d/photosynthesis/train/filenames.pickle,file,169,1559126411089980,28d64193ad08c887b2968c9850ae6cbd
d6337c37822611e9b16de4a471939b0d,link,,,
